date,price,bedrooms,bathrooms,sqft_living,sqft_log,floors,waterfront,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2/5/2014 00:00,342000,3,2,1930,11947,1,no,1930,0,1966,,26206-26214 143rd Ave SE,Kent,WA 98042,USA
6/5/2014 00:00,7800,2,1,780,16344,1,no,780,0,1942,,4229 S 144th St,Tukwila,WA 98168,USA
29/5/2014 00:00,83000,2,1,900,8580,1,no,900,0,1918,,14440 51st Ave S,Tukwila,WA 98168,USA
2/5/2014 00:00,640000,4,2,1520,6200,1.5,no,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA
2/5/2014 00:00,365000,3,1,1090,6435,1,no,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA
2/5/2014 00:00,367500,4,3,3110,7231,2,no,3110,0,1997,,11224 SE 306th Pl,Auburn,WA 98092,USA
2/5/2014 00:00,435000,4,1,1450,8800,1,no,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA
2/5/2014 00:00,650000,4,2,1820,5000,1.5,no,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA
28/5/2014 00:00,87500,2,1,780,6685,1,no,780,0,1948,,311 L St SE,Auburn,WA 98002,USA
2/5/2014 00:00,287200,3,3,1850,19966,1,no,1090,760,1992,,23017 SE 281st Ct,Maple Valley,WA 98038,USA
2/5/2014 00:00,403000,3,2,1960,13100,1,no,1650,310,1957,,17825 4th Ave SW,Normandy Park,WA 98166,USA
2/5/2014 00:00,260000,4,2,1480,8625,1,no,1480,0,1974,,2019 Aberdeen Pl SE,Renton,WA 98055,USA
13/5/2014 00:00,90000,2,1,790,2640,1,no,790,0,1973,2013,14710 122nd Pl NE,Kirkland,WA 98034,USA
23/5/2014 00:00,90000,2,1,580,7500,1,no,580,0,1943,2002,6621 S 131st Pl,Seattle,WA 98178,USA
2/5/2014 00:00,315000,3,1,1160,9180,1,no,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA
2/5/2014 00:00,805000,3,2,2710,4500,1.5,no,1880,830,1929,,6222 30th Ave NE,Seattle,WA 98115,USA
7/5/2014 00:00,100000,2,1,910,22000,1,no,910,0,1956,2001,138 Seattle Blvd S,Algona,WA 98001,USA
30/6/2014 00:00,100000,2,1,930,7623,1,no,930,0,1942,,1038 SW 152nd St,Burien,WA 98166,USA
3/5/2014 00:00,310000,3,1,1010,9945,1,no,1010,0,1973,,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA
4/5/2014 00:00,628000,4,2,2280,6010,1,no,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA
5/5/2014 00:00,900000,3,1,1330,77972,1,no,1330,0,1928,1954,13615 NE 100th St,Kirkland,WA 98033,USA
1/7/2014 00:00,102500,2,1,820,4320,1,no,820,0,1937,1999,9852 20th Ave SW,Seattle,WA 98106,USA
5/5/2014 00:00,831000,4,3,2170,4000,2,no,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA
5/5/2014 00:00,865000,4,3,3690,9892,2,no,3690,0,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA
11/6/2014 00:00,110000,2,1,800,15000,1,no,800,0,1927,2011,12231 14th Ave S,Seattle,WA 98168,USA
5/5/2014 00:00,485000,4,3,2340,7048,1,no,1340,1000,1979,,14319 85th Pl NE,Kirkland,WA 98034,USA
19/5/2014 00:00,110700,2,1,680,8064,1,no,680,0,1941,1994,14917-14999 27th Pl S,SeaTac,WA 98188,USA
19/6/2014 00:00,120000,2,1,990,39964,1,no,990,0,1945,,19229 SE 272nd St,Kent,WA 98042,USA
28/5/2014 00:00,127160,2,1,720,4222,1,no,720,0,1942,1982,821 Edmonds Ave NE,Renton,WA 98056,USA
13/6/2014 00:00,129000,2,1,1150,30184,1,no,1150,0,1950,2005,17029 106th Ave SE,Renton,WA 98055,USA
5/5/2014 00:00,770000,3,2,2350,5700,1.5,no,1810,540,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA
5/5/2014 00:00,435000,5,2,1840,9240,1,no,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA
5/5/2014 00:00,501000,4,1,2070,7519,1,no,1160,910,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA
5/5/2014 00:00,657100,4,1,1390,4240,1,no,1050,340,1924,2011,4312 Woodlawn Ave N,Seattle,WA 98103,USA
5/5/2014 00:00,300000,3,2,1050,10072,1,no,1050,0,1986,,27106 NE Miller St,Duvall,WA 98019,USA
5/5/2014 00:00,340000,5,1,1120,9022,1.5,no,1120,0,1962,,14150 75th Ave NE,Kirkland,WA 98034,USA
24/6/2014 00:00,139000,2,1,690,5280,1,no,690,0,1942,1982,755 Dayton Ave NE,Renton,WA 98056,USA
5/5/2014 00:00,287000,3,1,1450,6000,1,no,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA
5/5/2014 00:00,2280000,7,8,13540,307752,3,no,9410,4130,1999,,26408 NE 70th St,Redmond,WA 98053,USA
5/5/2014 00:00,418000,3,2,1410,6030,1.5,no,1410,0,1930,,901 N 97th St,Seattle,WA 98103,USA
5/5/2014 00:00,449250,4,2,1480,3844,1.5,no,1480,0,1928,1970,519 N 104th St,Seattle,WA 98133,USA
19/5/2014 00:00,141800,2,1,930,4743,1,no,930,0,1942,1982,821 Dayton Ave NE,Renton,WA 98056,USA
5/5/2014 00:00,249950,3,2,1550,15040,1,no,1550,0,1958,1972,18027 SE 128th St,Renton,WA 98059,USA
5/5/2014 00:00,210000,5,2,2050,10200,1,no,1430,620,1956,2001,20927-20999 2nd Ave S,Des Moines,WA 98198,USA
8/7/2014 00:00,148000,2,1,630,4200,1,no,630,0,1930,1997,7760 10th Ave SW,Seattle,WA 98106,USA
22/5/2014 00:00,150000,2,1,820,10270,1,no,820,0,1954,2005,10218 Aqua Way S,Seattle,WA 98168,USA
5/5/2014 00:00,618500,3,2,1800,5000,1,no,1080,720,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA
25/6/2014 00:00,150000,2,1,890,8100,1,no,890,0,1942,1999,13232 5th Ave SW,Burien,WA 98146,USA
5/5/2014 00:00,366750,3,3,1571,2017,3,no,1571,0,2008,,14359 19th Ave NE,Seattle,WA 98125,USA
13/5/2014 00:00,155000,2,1,910,6232,1,no,910,0,1943,2002,4812 S Chicago St,Seattle,WA 98118,USA
6/5/2014 00:00,397000,4,2,1440,7680,1,no,1200,240,1971,,10601 NE 138th Pl,Kirkland,WA 98034,USA
14/5/2014 00:00,155000,2,1,700,5200,1,no,700,0,1952,1998,475-547 Monroe Ave NE,Renton,WA 98056,USA
6/5/2014 00:00,353000,3,1,1350,7740,1,no,860,490,1947,1988,11051 35th Ave NE,Seattle,WA 98125,USA
6/5/2014 00:00,561000,3,2,2000,7000,2,no,2000,0,1916,1986,6422 Marshall Ave SW,Seattle,WA 98136,USA
29/5/2014 00:00,156766.6667,2,1,1500,4120,1.5,no,880,620,1928,1954,220 Garden Ave N,Renton,WA 98057,USA
28/5/2014 00:00,157500,2,1,740,9003,1,no,740,0,1949,1998,20206-20212 108th Ave SE,Kent,WA 98031,USA
6/5/2014 00:00,488000,5,2,2020,5000,1.5,no,2020,0,1938,,9020-9024 11th Ave NW,Seattle,WA 98117,USA
6/5/2014 00:00,312000,4,2,1300,7054,1,no,1300,0,1950,2013,2815 SW 107th St,Seattle,WA 98146,USA
6/5/2014 00:00,425000,4,2,1520,7983,1,no,1520,0,1967,,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA
7/5/2014 00:00,160000,2,1,1040,13100,1,no,1040,0,1912,,733 1st Ave N,Kent,WA 98032,USA
6/5/2014 00:00,250000,3,1,1050,6874,1,no,1050,0,1954,2005,18305 Dayton Ave N,Shoreline,WA 98133,USA
6/5/2014 00:00,475000,6,3,3470,117612,1.5,no,3470,0,1924,2011,19007 80th Ave NE,Kenmore,WA 98028,USA
6/5/2014 00:00,175000,3,1,1010,7034,1,no,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,USA
27/5/2014 00:00,160000,2,1,1180,9350,1,no,1180,0,1918,,12662 60th Ave S,Seattle,WA 98178,USA
6/5/2014 00:00,610000,4,3,2450,10117,1,no,1580,870,1967,,15607 SE 42nd Ct,Bellevue,WA 98006,USA
6/5/2014 00:00,563000,4,3,3100,15480,2,no,2400,700,1996,,7422 NE 163rd St,Kenmore,WA 98028,USA
6/5/2014 00:00,612500,4,2,2060,5000,1,no,1030,1030,1949,2013,1708 NW 96th St,Seattle,WA 98117,USA
6/5/2014 00:00,860000,4,2,3740,32417,2,no,3740,0,2000,,24507 NE 77th Pl,Redmond,WA 98053,USA
6/5/2014 00:00,313950,3,1,1510,6083,1,no,860,650,1940,2001,415 NE 94th St,Seattle,WA 98115,USA
8/5/2014 00:00,160000,2,1,520,22334,1,no,520,0,1951,,2802-2804 S 138th St,SeaTac,WA 98168,USA
6/5/2014 00:00,360000,4,2,2680,18768,1,no,2680,0,1965,,31607-31633 44th Ave S,Auburn,WA 98001,USA
6/5/2014 00:00,387000,3,1,1230,9568,1,no,1230,0,1962,,12116 SE 71st Pl,Newcastle,WA 98056,USA
6/5/2014 00:00,345000,3,1,1110,6250,1,no,1110,0,1956,2001,3230 NE 95th St,Seattle,WA 98115,USA
16/6/2014 00:00,163785.7143,2,1,760,5500,1.5,no,760,0,1947,2012,11023 4th Ave S,Seattle,WA 98168,USA
